"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_010_addThemeWithMinimumLength","测试用例 - 010 输入的themeName和themePicture长度为1",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_001_addCommentWithExistingID","测试用例 - 001 测试ID存在",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","1","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_020_addPostWith1022Content","测试用例 - 020 内容长度为1022",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_001_addThemeWithNormal","测试用例 - 001 输入的themeName正常",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_027_addPostWithNullContent","测试用例 - 027 内容为空",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","1","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_003_addPostWith12Phone","测试用例 - 003 电话号码为12位",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_021_addPostWith1023Content","测试用例 - 021 内容长度为1023",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_004_addCommentWithNullContent","测试用例 - 004 测试评论内容为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_012_addCommentWithEmptyName","测试用例 - 012 测试用户名为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_024_addPostWithNullName","测试用例 - 024 姓名为空",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_001_addPostWith10Phone","测试用例 - 001 电话号码为10位的情况",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","4","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_015_addCommentWithInvalidReleaseTimeFormat","测试用例 - 015 测试发布时间格式不正确",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","1","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_006_addPostWith30Name","测试用例 - 006 名字为最大长度",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_015_addPostWith31ThemeName","测试用例 - 015 主题名称长度为31",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_013_addThemeWithExceedingMaxLengthName","测试用例 - 013 输入的themeName长度为31",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_008_addPostWithEmptyPicture","测试用例 - 008 图片链接为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_028_addPostWithNullReleaseTime","测试用例 - 028 时间为空",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_007_addThemeWithPictureExceedsMaxLength","测试用例 - 007 输入的themePicture长度超过2083",""
"skipped","Sun Jun 18 22:04:21 CST 2023","Sun Jun 18 22:04:21 CST 2023","0","","PostTest","","PostTest","getPosts","getPosts()",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_023_addPostWithNullPhone","测试用例 - 023 电话为空",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_019_addThemeWithEmptyNameAndPicture","测试用例 - 019 输入的themeName和themePicture为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","1","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_014_addPostWith1ThemeName","测试用例 - 014 主题名称长度为1",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_019_addCommentWithPictureMismatchedToPhone","测试用例 - 019 测试图片与手机号不匹配",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","3","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_016_addThemeWithPictureExceedsMaxLength","测试用例 - 016 输入的themePicture长度超过2083",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_007_addPostWith31Name","测试用例 - 007 名字超过最大长度",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_020_addCommentWithContentLength1023","测试用例 - 020 测试评论内容长度为1023",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","1","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_029_addPostWithInvalidPhone","测试用例 - 029 电话包含非数字字符",""
